Date,Weekday,EventName,TeluguName,Time,LocationName,MapLink,DressCode,IsWedding
2/23/2026,Monday,Pellikuthuru,పెళ్లికుతురు,9:30 AM - 11:00 AM,Arcadia Resorts,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3806.962447829236!2d78.2511865!3d17.4135897!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbeb007d75ecbb%3A0x91bf1fe7cd3a8e7d!2sArcadia%20-%20Event%20Venue%20in%20Hyderabad!5e0!3m2!1sen!2sus!4v1768548330311!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Traditional,FALSE
2/23/2026,Monday,Pellikoduku,పెళ్లికొడుకు,9:30 AM - 11:00 AM,Grooms Residence,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7609.477453920027!2d78.29858867556855!3d17.51998129897105!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcb8d51b0fc48b3%3A0x5f58888b1080b6a0!2s83%2F1%2C%20NEW-9-6-83%2F1%2C%20Bramarambika%20Nagar%20Colony%20Rd%2C%20Bhramarambika%20Colony%2C%20Beeramguda%2C%20Hyderabad%2C%20Telangana%20502032%2C%20India!5e0!3m2!1sen!2sus!4v1768548290228!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",White/Silver,FALSE
2/23/2026,Monday,Mehendi,మెహందీ,5:30 PM - 7:30 PM,Arcadia Resorts,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3806.962447829236!2d78.2511865!3d17.4135897!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbeb007d75ecbb%3A0x91bf1fe7cd3a8e7d!2sArcadia%20-%20Event%20Venue%20in%20Hyderabad!5e0!3m2!1sen!2sus!4v1768548330311!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Blushing Dawn: Soft Corals & Rosy Pinks,FALSE
2/24/2026,Tuesday,Haldi,హల్ది,10:00 AM - 12:30 PM,Arcadia Resorts,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3806.962447829236!2d78.2511865!3d17.4135897!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbeb007d75ecbb%3A0x91bf1fe7cd3a8e7d!2sArcadia%20-%20Event%20Venue%20in%20Hyderabad!5e0!3m2!1sen!2sus!4v1768548330311!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Sunrise Hues: Vibrant Yellows & Saffrons,FALSE
2/24/2026,Tuesday,Sangeeth,సంగీత్,6:30 PM - 8:30 PM,Arcadia Resorts,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3806.962447829236!2d78.2511865!3d17.4135897!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbeb007d75ecbb%3A0x91bf1fe7cd3a8e7d!2sArcadia%20-%20Event%20Venue%20in%20Hyderabad!5e0!3m2!1sen!2sus!4v1768548330311!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Shimmer in the Dark,FALSE
2/25/2026,Wednesday,Wedding,వివాహం,Full day (Muhurtham 10:29 PM),Arcadia Resorts,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3806.962447829236!2d78.2511865!3d17.4135897!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbeb007d75ecbb%3A0x91bf1fe7cd3a8e7d!2sArcadia%20-%20Event%20Venue%20in%20Hyderabad!5e0!3m2!1sen!2sus!4v1768548330311!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Traditional,TRUE
2/26/2026,Thursday,Satyanarayana Swami Vratam,సత్యనారాయణ స్వామి వ్రతం,11:00 AM - 1:00 PM,Grooms Residence,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7609.477453920027!2d78.29858867556855!3d17.51998129897105!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcb8d51b0fc48b3%3A0x5f58888b1080b6a0!2s83%2F1%2C%20NEW-9-6-83%2F1%2C%20Bramarambika%20Nagar%20Colony%20Rd%2C%20Bhramarambika%20Colony%2C%20Beeramguda%2C%20Hyderabad%2C%20Telangana%20502032%2C%20India!5e0!3m2!1sen!2sus!4v1768548290228!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Ethnic Wear,FALSE
2/26/2026,Thursday,Reception,రిసెప్షన్,7:30 PM - 10:00 PM,Sri Convention Hall,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3804.923918682848!2d78.29616229999999!3d17.5111449!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcb8d66ab4e988f%3A0xda59fdc59515bdc4!2sSri%20Convention%20Hall!5e0!3m2!1sen!2sus!4v1768548364388!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Western Formal,FALSE
